Profile Summary,,,,,,,,,,,,,
Generated on: 2020-08-10 16:34:42,,,,,,,,,,,,,
Msec since Epoch: 1597077282984,,,,,,,,,,,,,
Profiled application: host,,,,,,,,,,,,,
Target platform: Xilinx,,,,,,,,,,,,,
Tool version: 2019.1,,,,,,,,,,,,,
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,,,,,,,,,,,,,
Flow mode: System Run,,,,,,,,,,,,,
,,,,,,,,,,,,,
OpenCL API Calls,,,,,,,,,,,,,
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),,,,,,,,
clWaitForEvents,12,10331.7,0.001605,860.979,1283.19,,,,,,,,
clEnqueueWriteBuffer,30,4224.78,0.045897,140.826,226.668,,,,,,,,
clCreateProgramWithBinary,1,3384.66,3384.66,3384.66,3384.66,,,,,,,,
clCreateBuffer,24,2016.25,0.00981,84.0102,130.032,,,,,,,,
clReleaseMemObject,6,20.9616,0.001508,3.49361,10.5236,,,,,,,,
clEnqueueNDRangeKernel,10,15.4065,0.078398,1.54065,14.6662,,,,,,,,
clCreateKernel,1,1.28498,1.28498,1.28498,1.28498,,,,,,,,
clSetKernelArg,30,0.18155,0.00182,0.00605167,0.017013,,,,,,,,
clGetEventInfo,20,0.051478,0.001286,0.0025739,0.004626,,,,,,,,
clSetEventCallback,10,0.035921,0.002746,0.0035921,0.004808,,,,,,,,
clGetExtensionFunctionAddress,2,0.02812,0.005176,0.01406,0.022944,,,,,,,,
clGetPlatformInfo,14,0.019631,0.001145,0.00140221,0.003529,,,,,,,,
clReleaseCommandQueue,2,0.010894,0.002731,0.005447,0.008163,,,,,,,,
clCreateCommandQueue,2,0.008628,0.002324,0.004314,0.006304,,,,,,,,
clGetExtensionFunctionAddressForPlatform,2,0.008161,0.002099,0.0040805,0.006062,,,,,,,,
clGetDeviceInfo,2,0.007898,0.003293,0.003949,0.004605,,,,,,,,
clCreateContext,1,0.007095,0.007095,0.007095,0.007095,,,,,,,,
clGetDeviceIDs,1,0.006452,0.006452,0.006452,0.006452,,,,,,,,
clBuildProgram,1,0.005592,0.005592,0.005592,0.005592,,,,,,,,
clFlush,1,0.004942,0.004942,0.004942,0.004942,,,,,,,,
clReleaseContext,1,0.00372,0.00372,0.00372,0.00372,,,,,,,,
clReleaseProgram,1,0.002573,0.002573,0.002573,0.002573,,,,,,,,
clReleaseDevice,1,0.00257,0.00257,0.00257,0.00257,,,,,,,,
clReleaseKernel,1,0.002439,0.002439,0.002439,0.002439,,,,,,,,
clFinish,1,0.002343,0.002343,0.002343,0.002343,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Kernel Execution,,,,,,,,,,,,,
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),,,,,,,,
topkernel,10,10053.8,1005.34,1005.38,1005.45,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compute Unit Utilization,,,,,,,,,,,,,
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz)
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1,topkernel,1:01:01,1:01:01,10,No,1,1.000000x,11762.8,1176.25,1176.28,1176.32,227
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Transfer: Host to Global Memory,,,,,,,,,,,,,
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),,,,,,
context0:1,WRITE,28,2465.973562,25.687225,383482,4354.264103,155.509432,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Transfer: Kernels to Global Memory,,,,,,,,,,,,,
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),,,,
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1/M_AXI_GMEM0,kvsourcedramA,DDR,READ,10776989,3342.79,29.0173,3.64855,1990.98,,,,
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1/M_AXI_GMEM0,kvsourcedramA,DDR,WRITE,6687481,1592.95,13.8277,2.80187,803.767,,,,
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1/M_AXI_GMEM1,kvdestdramA,DDR,READ,1310720,456.416,3.96195,4.096,3986.94,,,,
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1/M_AXI_GMEM1,kvdestdramA,DDR,WRITE,1310720,456.416,3.96195,4.096,2327.88,,,,
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1/M_AXI_GMEM2,kvstatsA,DDR,READ,23360,0.0367261,0.000318803,0.0184932,401.091,,,,
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1/M_AXI_GMEM2,kvstatsA,DDR,WRITE,2820,0.0297141,0.000257935,0.123943,343.087,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Top Data Transfer: Kernels to Global Memory,,,,,,,,,,,,,
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),,,,,
xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,topkernel_1,20112090,3420.63,83.5115,68796,24106.5,44689.5,5848.63,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Top Kernel Execution,,,,,,,,,,,,,
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,7913.75,1005.45,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,17394.2,1005.41,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,30062.3,1005.39,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,20564.4,1005.38,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,23725.8,1005.38,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,26892.1,1005.37,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,36388.3,1005.36,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,33228.8,1005.35,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,14234.2,1005.34,1:01:01,1:01:01,,,,,
23493472,topkernel,0,1,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,11074.2,1005.34,1:01:01,1:01:01,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Top Memory Writes: Host to Global Memory,,,,,,,,,,,,,
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),,,,,,,
0,0,1,7621.51,292.196669,1.07E+06,3674.751049,,,,,,,
2147483648,0,1,29835.5,226.571065,536871,2369.54755,,,,,,,
2147483648,0,1,26665.4,226.568986,536871,2369.569293,,,,,,,
2147483648,0,1,33002.2,226.348988,536871,2371.872376,,,,,,,
2147483648,0,1,20337.8,226.337851,536871,2371.989085,,,,,,,
2147483648,0,1,14007.7,226.286942,536871,2372.522724,,,,,,,
0,0,1,26439.2,226.047893,536871,2375.031702,,,,,,,
0,0,1,29609.5,225.900479,536871,2376.581557,,,,,,,
2147483648,0,1,17168.1,225.818972,536871,2377.439359,,,,,,,
2147483648,0,1,23499.9,225.722417,536871,2378.456332,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Top Memory Reads: Host to Global Memory,,,,,,,,,,,,,
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Guidance Parameters,,,,,,,,,,,,,
Parameter,Element,Value,,,,,,,,,,,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,29479.88791,,,,,,,,,,,
CU_CALLS,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|topkernel_1,10,,,,,,,,,,,
MEMORY_BIT_WIDTH,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,512,,,,,,,,,,,
MIGRATE_MEM,host,0,,,,,,,,,,,
MEMORY_USAGE,DDR,3,,,,,,,,,,,
PLRAM_DEVICE,all,1,,,,,,,,,,,
HBM_DEVICE,all,0,,,,,,,,,,,
KDMA_DEVICE,all,0,,,,,,,,,,,
P2P_DEVICE,all,0,,,,,,,,,,,
P2P_HOST_TRANSFERS,host,0,,,,,,,,,,,
PORT_BIT_WIDTH,topkernel_1/m_axi_gmem0,512,,,,,,,,,,,
PORT_BIT_WIDTH,topkernel_1/m_axi_gmem1,512,,,,,,,,,,,
PORT_BIT_WIDTH,topkernel_1/m_axi_gmem2,64,,,,,,,,,,,
KERNEL_COUNT,topkernel,1,,,,,,,,,,,
OBJECTS_RELEASED,all,0,,,,,,,,,,,
